ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1746,Dietary Supplement/Medications/Remedy,Orlistat,Arsenic,-1,ppm,Galeno Quimica S.A.,COLOMBIA,ECUADOR,08/12/2016 00:00,A
1747,Dietary Supplement/Medications/Remedy,Orlistat,Lead,-1,ppm,Galeno Quimica S.A.,COLOMBIA,ECUADOR,08/12/2016 00:00,A
1748,Dietary Supplement/Medications/Remedy,Orlistat,Mercury,-1,ppm,Galeno Quimica S.A.,COLOMBIA,ECUADOR,08/12/2016 00:00,A
1749,Cosmetics,Shea Butter,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,08/13/2016 12:00:00 AM,C
1750,Food Other,Rooibos Tea,Lead,-1,ppm,UNKNOWN OR NOT STATED,CONGO,CONGO,08/13/2016 12:00:00 AM,C
1751,Food-Spice,Father-in law Curry,Lead,0.49,ppm,UNKNOWN OR NOT STATED,CONGO,CONGO,08/13/2016 12:00:00 AM,C
1752,Food-Spice,Peri Peri,Lead,1.7,ppm,UNKNOWN OR NOT STATED,CONGO,CONGO,08/13/2016 12:00:00 AM,C
1753,Food-Spice,Curry Masala,Lead,0.3,ppm,UNKNOWN OR NOT STATED,CONGO,CONGO,08/13/2016 12:00:00 AM,C
1754,Food-Spice,Oregano,Lead,-1,ppm,UNKNOWN OR NOT STATED,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,08/13/2016 12:00:00 AM,C
1755,Toys/Children's Products,Toy car (gold and silver),Lead,-1,ppm,Mattel,THAILAND,UNITED STATES,08/13/2016 12:00:00 AM,C
1756,Food-Spice,Cuzcuma,Lead,3.5,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
1757,Food-Spice,Georgian Salt,Lead,7100,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
1758,Food-Spice,No name  Seasoning,Lead,17000,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
1759,Food-Spice,Saffron,Lead,8000,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
1760,Food-Spice,Khmeli Suneli,Lead,130,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
1761,Food-Spice,Utskho suneli,Lead,560,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
1762,Food-Spice,Mixture of spices,Lead,2700,ppm,UNKNOWN OR NOT STATED,RUSSIAN FEDERATION,RUSSIAN FEDERATION,08/16/2016 12:00:00 AM,C
